epoch,train_loss,val_mae,val_corr,lr,epoch_time_s,is_best
1,31.444126,32.0481,0.205577,3.00e-05,7.8,1
2,30.724126,31.3854,0.258404,3.00e-05,5.9,1
3,30.128490,31.0049,0.275007,3.00e-05,6.0,1
4,29.582679,30.6496,0.322334,3.00e-05,6.1,1
5,29.284801,30.2073,0.331237,3.00e-05,5.9,1
6,28.922643,30.3124,0.334925,3.00e-05,6.1,0
7,28.715692,29.5521,0.358769,3.00e-05,6.1,1
8,28.489172,29.2545,0.370746,3.00e-05,6.1,1
9,28.390552,30.4945,0.366625,3.00e-05,6.1,0
10,28.300077,29.2085,0.350341,3.00e-05,6.1,1
11,28.007531,28.9260,0.342620,3.00e-05,6.1,1
12,27.959524,28.7191,0.431143,3.00e-05,6.1,1
13,27.915378,28.7060,0.433517,3.00e-05,6.0,1
14,27.950201,28.6162,0.446701,3.00e-05,5.9,1
15,27.643131,28.4193,0.455784,3.00e-05,6.2,1
16,27.473697,29.9184,0.426205,3.00e-05,6.2,0
17,27.482186,28.4936,0.423809,3.00e-05,6.1,0
18,27.184152,28.5020,0.514140,3.00e-05,6.1,0
19,27.036955,27.5676,0.522436,3.00e-05,6.2,1
20,26.818838,27.9561,0.472009,3.00e-05,6.2,0
21,26.833439,27.7703,0.555294,3.00e-05,6.1,0
22,26.839351,27.8757,0.557774,3.00e-05,6.2,0
23,26.329413,26.9022,0.579048,3.00e-05,6.2,1
24,26.193294,28.0643,0.595886,3.00e-05,6.2,0
25,25.949619,26.7845,0.607411,3.00e-05,6.1,1
26,25.930813,26.8250,0.561144,3.00e-05,6.2,0
27,25.703465,26.9442,0.637568,3.00e-05,6.2,0
28,25.619472,27.1281,0.628516,3.00e-05,6.2,0
29,25.174211,26.1229,0.659691,3.00e-05,6.1,1
30,25.355495,25.4591,0.684285,3.00e-05,6.1,1
31,24.840368,27.7473,0.683592,3.00e-05,6.2,0
32,24.634409,24.8869,0.690799,3.00e-05,6.2,1
33,24.657236,25.1420,0.680725,3.00e-05,6.2,0
34,24.342674,24.6194,0.682671,3.00e-05,6.2,1
35,23.987451,32.2896,0.493646,3.00e-05,6.1,0
36,24.040640,26.7107,0.694633,3.00e-05,6.1,0
37,23.222307,25.4702,0.702377,3.00e-05,6.1,0
38,23.799592,25.0363,0.709849,3.00e-05,6.2,0
39,22.996322,23.8806,0.756888,3.00e-05,6.2,1
40,22.751672,23.2036,0.728787,3.00e-05,6.2,1
41,22.933988,24.6379,0.748472,3.00e-05,6.1,0
42,22.342371,24.2489,0.709045,3.00e-05,6.1,0
43,22.349406,23.5432,0.747866,3.00e-05,6.2,0
44,21.984603,22.3874,0.755415,3.00e-05,6.1,1
45,21.771310,25.0659,0.770946,3.00e-05,6.2,0
46,21.579746,21.8842,0.787438,3.00e-05,6.2,1
47,21.583848,21.4957,0.764252,3.00e-05,6.1,1
48,21.169663,19.9955,0.779043,3.00e-05,6.1,1
49,21.038948,21.4155,0.780834,3.00e-05,6.2,0
50,20.873209,21.5122,0.759088,3.00e-05,6.1,0
